country_id,Resources_1,Resources_2,Resources_3,Reserves_1,Reserves_2,Reserves_3,Production 2016 _1,Production 2016 _2,Production 2016 _3
Guinea,6400,200,400,3150.0,0,0,27.6,0,0
China,6400,200,400,2860.0,0,0,114.4,0,0
Brazil,5000,0,0,2600.0,0,0,39.2,0,0
Indonesia,6400,200,400,2418.0,0,0,1.0,0,0
Vietnam,5531,0,0,2387.0,0,0,1.5,0,0
Australia,6021,0,0,2300.0,0,0,86.5,0,0
Guyana,1000,0,0,850.0,0,0,1.6,0,0
Cameroon,1500,0,0,680.0,0,0,0.0,0,0
India,3480,0,0,593.0,0,0,19.4,0,0
Jamaica,1200,0,0,500.0,0,0,8.4,0,0
Ghana,900,0,0,476.0,0,0,1.0,0,0
Venezuela,500,0,0,320.0,0,0,2.2,0,0
Lao PDR,442,0,0,291.0,0,0,0.0,0,0
Saudi Arabia,500,0,0,250.0,0,0,4.3,0,0
Malaysia,960,0,0,180.0,0,0,7.7,0,0
Russia,1000,0,0,200.0,0,0,6.3,0,0
Greece,600,0,0,100.0,0,0,1.8,0,0
Philippines,140,0,0,91.0,0,0,0.0,0,0
Madagascar,300,0,0,90.0,0,0,0.0,0,0
Cambodia,344,0,0,75.0,0,0,0.0,0,0
Turkey,460,0,0,51.0,0,0,1.4,0,0
Iran,70,0,0,39.0,0,0,0.9,0,0
Montenegro,50,0,0,38.7,0,0,1.2,0,0
Dominic Republic,60,0,0,25.0,0,0,0.0,0,0
Fiji,1000,0,0,20.0,0,0,0.6,0,0
Solomon Islands,60,0,0,20.0,0,0,0.0,0,0
Sierra Leone,31,0,0,12.0,0,0,1.2,0,0
Iraq,30,0,0,12.0,0,0,0.0,0,0
Suriname,500,0,0,2.0,0,0,0.0,0,0
