Project,Country,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
Chalco Boffa,Guinea,,,,,,,,,,,,,,,
Alufer (Bel Air),Guinea,,,,,,,,,,,,,,,
Weipa,Australia,,,,,,,,,,,,,,,
Gove,Australia,,,,,,,,,,,,,,,
AMR,Guinea,,,,,,,,,,,,,,,
Gujarat & Maharashtra,India,,,,,,,,,,,,,,,
West Kalimantan,Indonesia,,,,,,,,,,,,,,,
Henan-Chine,Guinea,,,,,,,,,,,,,,,
Kuantan & Johor,Malaysia,,,,,,,,,,,,,,,
Aurum Xinfa-Fiji,Fiji,,,,,,,,,,,,,,,
Dom. Rep.,Dominican Republic,,,,,,,,,,,,,,,
Discovery Bay,Jamaica,,,,,,,,,,,,,,,
Awaso,Ghana,,,,,,,,,,,,,,,
CBG,Guinea,,,,,,,,,,,,,,,
AMC,Guinea,,,,,,,,,,,,,,,
GAC,Guinea,,,,,,,,,,,,,,,
Solomon Islands,Solomon Islands,35.63078731842186,40.46162003406447,43.6884743579364,42.56854127626328,44.196685585246975,43.828187970965615,43.63394292871679,44.254548195865915,44.254548195865915,44.254548195865915,44.254548195865915,44.254548195865915,44.254548195865915,44.254548195865915,44.254548195865915
Metallica,Australia,,,,,,,,,,,,,,,
Aurukun,Australia,,,,,,,,,,,,,,,
Metro LT,Australia,,,,,,,,,,,,,,,
MRN,Brazil,,,,,,,,,,,,,,,
Juruti,Brazil,,,,,,,,,,,,,,,
Mirai,Brazil,,,,,,,,,,,,,,,
Metro BH1,Australia,,,,,,,,,,,,,,,
Amrun,Australia,,,,,,,,,,,,,,,
Rondon do Para,Brazil,,,,,,,,,,,,,,,
Huntly,Australia,,,,,,,,,,,,,,,
Vietnam Others,Vietnam,,,,,,,,,,,,,,,
SMB Malapouya,Guinea,,,,,,,,,,,,,,,
Rundi,Guinea,,,,,,,,,,,,,,,
Metro Blend,Australia,,,,,,,,,,,,,,,
Dabiss N,Guinea,,,,,,,,,,,,,,,
Amrun,Australia,,,,,,,,,,,,,,,
Metro BH1 Xinfa,Australia,,,,,,,,,,,,,,,
Dian Dian,Guinea,,,,,,,,,,,,,,,
Dynamic,Guinea,,,,,,,,,,,,,,,
Other,Other,0.8097906208732241,0.9195822735014652,0.9929198717712818,0.9674668471878018,1.0044701269374312,0.9960951811583094,0.9916805211071998,1.0057851862696798,1.0057851862696798,1.0057851862696798,1.0057851862696798,1.0057851862696798,1.0057851862696798,1.0057851862696798,1.0057851862696798
GDM,Guinea,,,,,,,,,,,,,,,
Ashapura Guinea,Guinea,,,,,,,,,,,,,,,
SMB Kaboye,Guinea,,,,,,,,,,,,,,,
SMB Dabiss S,Guinea,,,,,,,,,,,,,,,
Weiqiao Self Supply,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGB2A,Guinea,,,,,,,,,,,,,,,
Mokanji,Guinea,,,,,,,,,,,,,,,
SMB Santou-Houda,Guinea,,,,,,,,,,,,,,,
SPIC,Guinea,,,,,,,,,,,,,,,
Henan-Chine,Guinea,,,,,,,,,,,,,,,
SMB Malapouya,Guinea,,,,,,,,,,,,,,,
AMR,Guinea,,,,,,,,,,,,,,,
GDM,Guinea,,,,,,,,,,,,,,,
Ashapura Guinea,Guinea,,,,,,,,,,,,,,,
SMB Kaboye,Guinea,,,,,,,,,,,,,,,
SMB Dabiss S,Guinea,,,,,,,,,,,,,,,
SMB Santou-Houda,Guinea,,,,,,,,,,,,,,,
