ind,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
BAR,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.546221761,2.58483955,2.611034266,2.692036215,2.680401962,2.646916639,2.664692876,2.6625301969999997,2.663638525,2.661741464,2.613340098,2.603714439,2.604349342,2.618978733,2.619154061,2.616315922,2.620012624,2.619256362,2.6199193590000003
Alumina Demand,15.320689000000002,20.735471,24.82890881,27.18896699,28.91520898,33.25230107,35.75087572,46.86913829,50.33106566,55.83640482,61.77516637,63.20873601,73.15,70.8179,72.17875500000002,73.9,77.0,79.8,81.3,82.3,82.5,82.9,83.3,83.7,83.9,83.9,83.9
Alumina Imports,6.953235,7.038453,5.093697,4.586207733,5.1408664,4.312312779,1.88087572,5.01913829,3.8310656610000002,5.2764048180000005,4.653557365,2.93230901,2.809690128,0.0,1.378755,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
AA made from import bauxite,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,29.0,29.0,30.0,33.0,35.0,39.0,45.0,48.0,51.0,52.0,53.0,63.7
AA from domestic bauxite,7.165,10.405097,13.437000000000001,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.465,35.3505,39.1405,39.9755,45.79,45.72,38.716,33.19,34.5,35.73,35.67,34.7,30.215,25.2,21.91,19.975,18.8,17.7,17.7
AA made from import bauxite,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,39.5,41.48,45.15,48.74,53.635,57.82,60.92,62.325,63.4,64.97,65.38
AA from domestic bauxite,7.165,10.405097,13.437000000000001,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.465,35.3505,39.1405,39.9755,45.79,45.72,38.716,33.19,34.5,35.32,33.65,31.06,26.365,22.58,19.88,18.875,18.0,16.43,16.02
AA made from import bauxite,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,43.05,48.27,53.58,56.285,60.025,62.24,63.7,66.05,68.7,69.53,69.9
AA from domestic bauxite,7.165,10.405097,13.437000000000001,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.465,35.3505,39.1405,39.9755,45.79,45.72,38.716,33.19,30.95,28.53,25.22,23.515,19.975,18.16,17.1,15.15,12.7,11.87,11.5
AA made from import bauxite,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,53.77,56.01,59.83,64.235,66.95,69.08,70.1,70.5,71.0,71.0,71.0
AA from domestic bauxite,7.165,10.405097,13.437000000000001,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.465,35.3505,39.1405,39.9755,45.79,45.72,38.716,33.19,20.23,20.79,18.97,15.565,13.05,11.32,10.7,10.7,10.4,10.4,10.4
Planned production from imports,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,39.5,41.07,42.72,43.7,44.1,46.22,47.8,49.5,50.3,50.6,50.6
Domestic BAR Collector,1.829153423,1.931390799,1.985784121,2.043743771,2.091237509,2.127459181,2.1538047280000003,2.176149066,2.204405376,2.230202982,2.272224784,2.3105464369999997,2.3435325380000003,2.3830716830000003,2.42524934,2.442974907,2.487113944,2.5312225319999997,2.514584489,2.599324305,2.541131886,2.600266716,2.579589512,2.6236739769999997,2.645765068,2.6392179540000003,2.6675218259999998
Actual bauxite imports,2.155981268,9.237389292000001,23.17776692,25.88902957,19.791645300000006,30.35901066,45.23409017,40.06615285,71.60850865,36.52008452,56.09999918,52.05039162,68.75856349,82.36493252,100.66286109999999,,,,,,,,,,,,
Stockpile building tonnage,,,,,,,,,,,,,,,,8.895497229,13.29155624,9.076538391,9.068290139,4.608574556000001,5.000350737,3.797519162,2.488196358,4.029126519,4.53262184,1.440590999,0.628780646
AA made from fly ash capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.36,0.36,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namely Demand by Domestic Capacity,,,,,,,,,,,,,,,50.31,51.61,52.51,53.31,54.13,55.15,55.23,55.23,55.23,55.23,55.23,55.23,55.23
Demand by Domestic Capacity Aa Capacity n Production,,,,,,,,,,,,,,,40.22,34.29,34.9,36.13,36.08,36.1,35.9,34.18,33.0,31.7,31.1,30.8,30.8
Planned Production from Imports by Converted Capacity,,,,,,,,,,,,,,,3.29,7.33,7.8,7.9,7.6,7.5,7.4,6.7,6.7,6.6,6.6,6.6,6.6
