,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Domestic Bx,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.93030987200001,45.857899999999994,38.71600000000002,33.190000000000005,20.229999999999997,20.79,18.97,15.564999999999998,13.049999999999997,11.320000000000007,10.700000000000003,10.700000000000003,10.400000000000006,10.400000000000006,10.400000000000006
CBIX US$45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10.720000000000006,7.739999999999995,6.25,7.950000000000003,6.925000000000004,6.839999999999996,6.3999999999999915,4.450000000000003,2.299999999999997,1.4699999999999989,1.0999999999999943
CBIX US$55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.549999999999997,6.790000000000006,8.43,7.544999999999995,6.390000000000001,4.420000000000002,2.780000000000001,3.7249999999999943,5.300000000000004,4.560000000000002,4.52000000000001
CBIX US$65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,10.5,11.479999999999997,12.149999999999999,13.740000000000002,14.634999999999998,12.82,12.920000000000002,11.325000000000003,11.399999999999999,11.969999999999999,1.6799999999999926
Depletion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.71,-10.5,-11.07,-9.719999999999999,-8.700000000000003,-5.100000000000001,-1.2199999999999989,0.20000000000000284,1.5,1.7000000000000028,2.3999999999999986,13.100000000000001
Planned Additional - Imports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625999999999998,7.415999999999997,8.985999999999997,10.635999999999996,11.616,12.015999999999998,14.135999999999996,15.715999999999994,17.415999999999997,18.215999999999994,18.516,18.516
Existing Demand - Imports,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,32.084,32.084,32.084,32.084,32.084,32.084,32.084,32.084,32.084,32.084,32.084,32.084
Imported Alumina,6.953235,7.038453,5.093697,4.586207733,5.1408664,4.312312779,1.88087572,5.01913829,3.8310656610000002,5.2764048180000005,4.653557365,2.93230901,2.809690128,0.0,1.378755,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
domestic L,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.93030987200001,45.857899999999994,38.71600000000002,33.190000000000005,20.229999999999997,20.79,18.97,15.564999999999998,13.049999999999997,11.320000000000007,10.700000000000003,10.700000000000003,10.400000000000006,10.400000000000006,10.400000000000006
CBIX US$45 L,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.93030987200001,45.857899999999994,38.71600000000002,33.190000000000005,30.950000000000003,28.529999999999994,25.22,23.515,19.975,18.160000000000004,17.099999999999994,15.150000000000006,12.700000000000003,11.870000000000005,11.5
CBIX US$55 L,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.93030987200001,45.857899999999994,38.71600000000002,33.190000000000005,34.5,35.32,33.65,31.059999999999995,26.365000000000002,22.580000000000005,19.879999999999995,18.875,18.000000000000007,16.430000000000007,16.02000000000001
CBIX US$65 L,7.167454000000001,10.407018,13.435211810000002,16.352759257000002,17.494342579999998,20.204988291000003,23.520000000000003,28.37,32.509999999,35.710000002,39.496609004999996,39.971427000000006,45.93030987200001,45.857899999999994,38.71600000000002,41.900000000000006,45.0,46.8,45.8,44.8,41.0,35.400000000000006,32.8,30.200000000000003,29.400000000000006,28.400000000000006,17.700000000000003
Demand L,15.320689000000002,20.735471,24.82890881,27.18896699,28.91520898,33.25230107,35.75087572,46.86913829,50.33106566,55.83640482,61.77516637,63.20873601,73.15,70.8179,72.17875500000002,73.9,77.0,79.8,81.3,82.3,82.5,82.9,83.3,83.7,83.9,83.9,83.9
